name,main_info,whisky_type,volume(cl),alcohol(%),price(£),style_body_last,style_richness_last,style_smoke_last,style_sweetness_last,characters,food_paring,bottler,bottling_decade_clean,bottler_canon,is_independent,bottling_year,age,age_,age_int,is_nas,country,region,casktype,cask_group,colouring,vintage,vintage_clean,nose,palate,finish,reviews,_text_all,price_per_cl,alcohol_density,smoky_family,fruity_family,floral_family,herbal_family,sweet_family,nutty_family,spicy_family,woody_family,earthy_family,malty_family,creamy_family,wine_family,marine_family,other_family,rarity_scarcity,rarity_price_premium,rarity_distillery,rarity_vintage,rarity_score,cluster_taste,cluster_taste_name,pc1,pc2
Woven Homemade WhiskySherried Scotch Blend,blended scotch whisky,blended,70.0,46.4,43.5,3.1,3.0,0.8,3.0,no description,,,,woven,1,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,0.6214285714285714,3248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3700059222814451,0.0014243093247236,0.0,0.0,0.2203349110722914,1,Balanced,0.08178983474904629,0.1614367110594289
Antiquary 15 Year OldClaret Cask Matured,blended scotch whisky,blended,70.0,40.0,38.5,3.0,2.0,0.0,4.0,"Plums, Cherry, Dark Chocolate, Orange",,,,distillery bottling,0,,15 year old,15.0,15.0,0,scotland,unknown_scotland,finish,unknown,Unknown,,,no description,no description,no description,,plums cherry dark chocolate orange no description no description no description,0.55,2800.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0010600358401396,0.0,0.3122073056509525,0.3218333773233732,6,Sweet,-0.21222574221164636,-2.117567441715078
Johnnie Walker Black Label 12 Year Old Sherry Finish,blended scotch whisky,blended,70.0,40.0,48.5,3.1,3.0,0.6,3.0,no description,,,,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,sherry finish,sherry,True,,,no description,no description,no description,,no description no description no description no description,0.6928571428571428,2800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0017885828093077,0.0,0.2185451139556667,0.2852248616544106,1,Balanced,0.08650689519915575,-0.02452368687272325
James Eadie Trade Mark X,blended scotch whisky,blended,70.0,45.6,31.95,3.0,4.0,1.0,3.0,"Vanilla, White Pepper, Nutmeg, Peat smoke, Malt",,,,james eadie,1,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,vanilla white pepper nutmeg peat smoke malt no description no description no description,0.4564285714285714,3192.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.6666666666666666,0.0005828375753344,0.0,0.0,0.3958168928372986,1,Balanced,0.8858560770776511,0.5357115666645399
Haig & Haig 12 Year OldBot.1940s Spring Cap,blended scotch whisky,blended,75.0,43.4,399.0,3.1,3.0,0.8,3.0,no description,,,1940.0,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,,no description no description no description no description,5.32,3255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.02732415407865,1.0,0.2185451139556667,0.6958438839137142,1,Balanced,0.08178983474904629,0.1614367110594289
Chivas Regal 12 Year Old Mizunara,blended scotch whisky,blended,70.0,40.0,52.25,4.0,4.0,0.0,3.0,"Hazelnut, Honey, Nutmeg, Oak",,,,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,mizunara,mizunara_asian_wood,Unknown,,,no description,no description,no description,A very smooth whiskey that is easy to drink and easy to enjoy. A bottle that you would buy again at the price and quality. A must try whiskey,hazelnut honey nutmeg oak no description no description no description very smooth whisky that is easy to drink and easy to enjoy bottle that you would buy again at the price and quality must try whisky,0.7464285714285714,2800.0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0.3333333333333333,0.0020617879227457,0.0,0.2185451139556667,0.2853869287648705,4,Rich & Full-Body,2.1073920919476614,-0.06089702743221838
Ballantine's 21 Year Old Golden Zest Edition,blended scotch whisky,blended,70.0,40.0,99.95,4.0,3.0,0.0,3.0,"Honeycomb, Oats, Orange, Cinnamon, Apple",,,,distillery bottling,0,,21 year old,21.0,21.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,honeycomb oats orange cinnamon apple no description no description no description,1.427857142857143,2800.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3333333333333333,0.0055369569656776,0.0,0.499531689041524,0.3985705063004875,5,Full-Body,1.1788137179070008,-0.28253082466157753
Hankey Bannister 21 Year OldBatch 3,blended scotch whisky,blended,70.0,40.0,117.0,3.0,3.0,0.0,3.0,"Dried Fruit, Vanilla, Toffee, Christmas Cake, Dark Chocolate, Cream",,,,distillery bottling,0,,21 year old,21.0,21.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,dried fruit vanilla toffee christmas cake dark chocolate cream no description no description no description,1.6714285714285717,2800.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0067791295481092,0.0,0.499531689041524,0.3993073714293785,1,Balanced,-0.019136994712462305,-0.6157242202255798
Johnnie Walker Blue Label Year of the Rabbit,blended scotch whisky,blended,70.0,40.0,212.0,3.0,2.0,1.0,3.0,"Caramel, Hazelnut, Vanilla, White Pepper, Dark Chocolate, Smoke",,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,,caramel hazelnut vanilla white pepper dark chocolate smoke no description no description no description,3.0285714285714285,2800.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0137003257552063,0.0,0.0,0.0081271253658628,1,Balanced,-0.9713006710036705,0.09244397220582155
Famous Grouse Highland Decanter,blended scotch whisky,blended,70.0,40.0,199.0,3.1,3.0,0.8,3.0,no description,,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,,no description no description no description no description,2.842857142857143,2800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0127532146952877,0.0,0.0,0.0075652927162685,1,Balanced,0.08178983474904629,0.1614367110594289
